Date,Price,Open,High,Low,Vol.,Change %
9/29/2011,"5,196.84","5,217.63","5,250.18","5,160.77",736.90M,-0.4
9/28/2011,"5,217.63","5,294.05","5,314.29","5,191.36",726.67M,-1.44
9/27/2011,"5,294.05","5,089.37","5,294.05","5,089.37",960.71M,4.02
9/26/2011,"5,089.37","5,066.81","5,148.81","4,974.03",1.04B,0.45
9/23/2011,"5,066.81","5,041.61","5,105.38","4,928.14",1.01B,0.5
9/22/2011,"5,041.61","5,288.41","5,288.41","5,013.55",1.19B,-4.67
9/21/2011,"5,288.41","5,363.71","5,366.09","5,268.82",770.54M,-1.4
9/20/2011,"5,363.71","5,259.56","5,377.39","5,219.09",708.69M,1.98
9/19/2011,"5,259.56","5,368.41","5,368.41","5,231.62",721.39M,-2.03
9/16/2011,"5,368.41","5,337.54","5,406.10","5,337.54",1.46B,0.58
9/15/2011,"5,337.54","5,227.02","5,366.74","5,227.02",1.12B,2.11
9/14/2011,"5,227.02","5,174.25","5,270.42","5,146.39",1.12B,1.02
9/13/2011,"5,174.25","5,129.62","5,203.07","5,069.52",885.95M,0.87
9/12/2011,"5,129.62","5,214.65","5,214.65","5,059.22",1.01B,-1.63
9/9/2011,"5,214.65","5,340.38","5,352.03","5,202.24",1.05B,-2.35
9/8/2011,"5,340.38","5,318.59","5,369.82","5,269.70",922.65M,0.41
9/7/2011,"5,318.59","5,156.84","5,322.21","5,156.84",837.91M,3.14
9/6/2011,"5,156.84","5,102.58","5,190.27","5,086.79",946.08M,1.06
9/5/2011,"5,102.58","5,292.03","5,292.03","5,097.71",788.82M,-3.58
9/2/2011,"5,292.03","5,418.65","5,418.65","5,258.50",823.93M,-2.34
9/1/2011,"5,418.65","5,394.53","5,449.67","5,346.70",975.36M,0.45
8/31/2011,"5,394.53","5,268.66","5,411.60","5,258.62",1.18B,2.39
8/30/2011,"5,268.66","5,129.92","5,283.60","5,129.92",910.28M,2.7
8/26/2011,"5,129.92","5,131.10","5,149.51","5,014.79",1.04B,-0.02
8/25/2011,"5,131.10","5,205.85","5,254.17","5,102.06",1.13B,-1.44
8/24/2011,"5,205.85","5,129.42","5,250.59","5,098.14",908.82M,1.49
8/23/2011,"5,129.42","5,095.30","5,193.17","5,076.74",904.65M,0.67
8/22/2011,"5,095.30","5,040.76","5,182.98","4,993.34",857.26M,1.08
8/19/2011,"5,040.76","5,092.23","5,107.91","4,929.55",1.55B,-1.01
8/18/2011,"5,092.23","5,331.60","5,331.60","5,041.59",1.18B,-4.49
8/17/2011,"5,331.60","5,357.63","5,371.08","5,279.93",671.94M,-0.49
8/16/2011,"5,357.63","5,350.58","5,362.15","5,265.83",716.38M,0.13
8/15/2011,"5,350.58","5,320.03","5,377.23","5,319.38",695.64M,0.57
8/12/2011,"5,320.03","5,162.83","5,320.03","5,099.31",1.02B,2.94
8/11/2011,"5,168.24","5,129.30","5,173.30","4,939.80",0,3.22
8/10/2011,"5,007.16","5,263.80","5,266.80","4,987.30",0,-3.05
8/9/2011,"5,164.92","5,013.40","5,193.80","4,788.30",0,1.72
8/8/2011,"5,077.50","5,167.50","5,295.30","5,060.50",0,0.17
8/5/2011,"5,068.95","5,236.00","5,387.50","5,202.50",0,-6.01
8/4/2011,"5,393.14","5,636.30","5,636.80","5,388.10",0,-3.43
8/3/2011,"5,584.51","5,638.30","5,678.00","5,555.80",0,-2.34
8/2/2011,"5,718.39","5,763.00","5,780.50","5,704.80",0,-0.97
8/1/2011,"5,774.43","5,878.00","5,914.80","5,764.80",0,-0.7
7/29/2011,"5,815.19","5,818.00","5,852.00","5,771.80",0,-0.99
7/28/2011,"5,873.21","5,803.30","5,883.00","5,799.30",0,0.28
7/27/2011,"5,856.58","5,908.80","5,932.50","5,840.00",0,-1.23
7/26/2011,"5,929.73","5,935.30","5,949.50","5,894.30",0,0.08
7/25/2011,"5,925.26","5,895.80","5,938.50","5,891.30",0,-0.16
7/22/2011,"5,935.02","5,941.60","5,967.50","5,903.50",0,0.6
7/21/2011,"5,899.89","5,858.70","5,934.50","5,796.30",0,0.79
7/20/2011,"5,853.82","5,821.10","5,855.80","5,804.00",0,1.1
7/19/2011,"5,789.99","5,773.40","5,802.30","5,765.30",0,0.65
7/18/2011,"5,752.81","5,804.00","5,816.50","5,752.81",0,-1.55
7/15/2011,"5,843.66","5,821.80","5,863.00","5,805.30",0,-0.06
7/14/2011,"5,846.95","5,857.30","5,895.80","5,839.80",0,-0.97
7/13/2011,"5,904.19","5,861.90","5,910.50","5,848.50",0,0.6
7/12/2011,"5,868.96","5,873.80","5,899.50","5,790.50",0,-1.02
7/11/2011,"5,929.16","5,974.00","6,000.00","5,898.80",0,-1.03
7/8/2011,"5,990.58","6,080.30","6,084.30","5,980.50",0,-1.06
7/7/2011,"6,054.55","6,026.20","6,071.30","6,005.00",0,0.86
7/6/2011,"6,002.92","6,019.50","6,023.30","5,972.30",0,-0.35
7/5/2011,"6,024.03","6,018.00","6,037.30","6,012.30",0,0.11
7/4/2011,"6,017.54","5,991.50","6,031.30","5,984.50",0,0.46
7/1/2011,"5,989.76","5,953.50","5,999.80","5,935.80",0,0.74
6/30/2011,"5,945.71","5,880.30","5,947.30","5,879.00",0,1.53
6/29/2011,"5,855.95","5,802.00","5,866.80","5,799.50",0,1.54
6/28/2011,"5,766.88","5,747.30","5,796.80","5,733.30",0,0.78
6/27/2011,"5,722.34","5,677.80","5,728.00","5,677.80",0,0.43
6/24/2011,"5,697.72","5,743.10","5,768.00","5,679.50",0,0.41
6/23/2011,"5,674.38","5,744.70","5,750.00","5,662.00",0,-1.71
6/22/2011,"5,772.99","5,767.30","5,789.80","5,741.80",0,-0.04
6/21/2011,"5,775.31","5,717.50","5,779.30","5,714.30",0,1.44
6/20/2011,"5,693.39","5,665.60","5,705.30","5,647.30",0,-0.38
6/17/2011,"5,714.94","5,668.40","5,732.80","5,643.80",0,0.28
6/16/2011,"5,698.81","5,701.00","5,717.50","5,642.80",0,-0.76
6/15/2011,"5,742.55","5,787.60","5,799.80","5,742.55",0,-1.04
6/14/2011,"5,803.13","5,805.90","5,823.30","5,783.80",0,0.51
6/13/2011,"5,773.46","5,769.60","5,794.80","5,763.00",0,0.07
6/10/2011,"5,769.30","5,847.00","5,868.30","5,757.30",0,-1.49
6/9/2011,"5,856.34","5,804.80","5,862.00","5,794.80",0,0.82
6/8/2011,"5,808.89","5,852.30","5,861.80","5,791.80",0,-0.95
6/7/2011,"5,864.65","5,858.30","5,891.30","5,848.80",0,0.03
6/6/2011,"5,863.16","5,834.80","5,883.30","5,827.50",0,0.14
6/3/2011,"5,855.01","5,864.50","5,868.00","5,802.50",0,0.12
6/2/2011,"5,847.92","5,872.80","5,893.00","5,847.92",0,-1.36
6/1/2011,"5,928.61","5,989.40","5,991.30","5,910.30",0,-1.02
5/31/2011,"5,989.99","5,981.80","6,010.80","5,969.50",0,0.86
5/27/2011,"5,938.87","5,925.30","5,951.80","5,916.30",0,0.98
5/26/2011,"5,880.99","5,888.30","5,912.00","5,866.30",0,0.18
5/25/2011,"5,870.14","5,810.40","5,881.50","5,809.60",0,0.2
5/24/2011,"5,858.41","5,843.30","5,884.30","5,842.30",0,0.39
5/23/2011,"5,835.89","5,870.30","5,874.30","5,832.00",0,-1.89
5/20/2011,"5,948.49","5,968.80","6,018.50","5,926.30",0,-0.13
5/19/2011,"5,955.99","5,959.80","6,004.00","5,935.30",0,0.55
5/18/2011,"5,923.49","5,906.80","5,933.80","5,886.30",0,1.07
5/17/2011,"5,861.00","5,894.10","5,942.30","5,861.00",0,-1.06
5/16/2011,"5,923.69","5,902.20","5,935.30","5,859.30",0,-0.04
5/13/2011,"5,925.87","5,968.10","6,000.00","5,916.50",0,-0.32
5/12/2011,"5,944.96","5,925.50","5,944.96","5,879.80",0,-0.52
5/11/2011,"5,976.00","6,031.60","6,039.80","5,963.00",0,-0.71
5/10/2011,"6,018.89","5,950.30","6,023.30","5,947.80",0,1.28
5/9/2011,"5,942.69","5,946.00","5,999.30","5,920.00",0,-0.57
5/6/2011,"5,976.77","5,918.30","5,986.50","5,870.30",0,0.96
5/5/2011,"5,919.98","6,002.80","6,009.30","5,911.30",0,-1.07
5/4/2011,"5,984.07","6,049.00","6,074.50","5,972.30",0,-1.62
5/3/2011,"6,082.88","6,094.90","6,103.30","6,050.00",0,0.21
4/28/2011,"6,069.90","6,085.80","6,089.30","6,050.00",0,0.03
4/27/2011,"6,068.16","6,066.00","6,090.50","6,044.80",0,-0.02
4/26/2011,"6,069.36","6,006.10","6,073.00","6,005.50",0,0.85
4/21/2011,"6,018.30","6,053.90","6,053.90","6,007.80",0,-0.07
4/20/2011,"6,022.26","5,953.80","6,034.80","5,953.80",0,2.13
4/19/2011,"5,896.87","5,903.00","5,921.30","5,889.80",0,0.46
4/18/2011,"5,870.08","5,992.70","5,995.00","5,856.80",0,-2.1
4/15/2011,"5,996.01","5,977.80","5,997.30","5,962.00",0,0.54
4/14/2011,"5,963.80","5,994.30","5,995.50","5,942.50",0,-0.78
4/13/2011,"6,010.44","5,991.50","6,044.00","5,983.30",0,0.77
4/12/2011,"5,964.47","6,025.50","6,027.80","5,957.50",0,-1.47
4/11/2011,"6,053.44","6,054.50","6,071.50","6,043.00",0,-0.04
4/8/2011,"6,055.75","6,043.90","6,066.50","6,037.50",0,0.81
4/7/2011,"6,007.37","6,043.30","6,053.50","6,007.30",0,-0.56
4/6/2011,"6,041.13","6,029.80","6,057.30","6,008.50",0,0.57
4/5/2011,"6,007.06","6,020.80","6,023.00","5,988.50",0,-0.16
4/4/2011,"6,016.98","5,999.00","6,035.00","5,986.00",0,0.12
4/1/2011,"6,009.92","5,929.20","6,015.30","5,929.20",0,1.2
3/31/2011,"5,938.66","5,953.90","5,974.00","5,918.30",0,-0.16
3/30/2011,"5,948.30","5,970.10","5,970.10","5,941.50",0,0.27
3/29/2011,"5,932.17","5,911.40","5,933.00","5,878.00",0,0.47
3/28/2011,"5,904.49","5,903.50","5,924.30","5,900.00",0,0.06
3/25/2011,"5,900.76","5,918.30","5,919.30","5,876.50",0,0.34
3/24/2011,"5,880.87","5,791.50","5,893.00","5,780.30",0,1.47
3/23/2011,"5,795.88","5,732.80","5,802.80","5,731.30",0,0.58
3/22/2011,"5,762.71","5,783.00","5,814.00","5,742.30",0,-0.4
3/21/2011,"5,786.09","5,784.50","5,800.30","5,762.30",0,1.14
3/18/2011,"5,720.80","5,706.90","5,757.50","5,699.30",0,0.47
3/17/2011,"5,693.80","5,634.80","5,708.00","5,610.80",0,1.71
3/16/2011,"5,598.23","5,719.80","5,719.80","5,598.23",0,-1.7
